id,char_count,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,adult_keywords_count,violence_keywords_count,uppercase_ratio,punctuation_count,exclamation_count,question_count,number_count
sample_00000,37,6,5.333333333333333,-0.7999999999999999,1.0,0,0,0.0,0,0,0,0
sample_00001,29,5,5.0,-0.875,1.0,0,2,0.0,0,0,0,0
sample_00002,38,6,5.5,0.15000000000000002,0.475,2,0,0.0,0,0,0,0
sample_00003,37,5,6.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00004,38,8,3.875,0.0,0.0,0,0,0.0,0,0,0,0
sample_00005,41,8,4.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00006,33,6,4.666666666666667,-0.8,0.9,0,0,0.0,0,0,0,0
sample_00007,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00008,34,6,4.833333333333333,0.5,1.0,0,0,0.0,0,0,0,0
sample_00009,35,5,6.2,0.0,0.0,1,0,0.0,0,0,0,0
sample_00010,31,7,3.5714285714285716,0.0,0.0,0,0,0.0,0,0,0,0
sample_00011,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00012,42,8,4.375,0.0,0.0,0,0,0.0,0,0,0,0
sample_00013,46,6,6.833333333333333,0.25,0.25,0,0,0.0,0,0,0,0
sample_00014,43,6,6.333333333333333,-0.18333333333333335,0.35,0,0,0.0,0,0,0,0
sample_00015,32,6,4.5,0.25,1.0,0,0,0.0,0,0,0,0
sample_00016,49,10,4.0,-0.15833333333333333,0.4,0,0,0.0,0,0,0,0
sample_00017,36,6,5.166666666666667,0.25,0.25,0,0,0.0,0,0,0,0
sample_00018,46,6,6.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00019,34,5,6.0,0.1,0.3,3,1,0.0,0,0,0,0
sample_00020,47,7,5.857142857142857,0.85,1.0,0,0,0.0,0,0,0,0
sample_00021,33,4,7.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00022,32,5,5.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00023,36,4,8.25,0.0,0.0,0,1,0.0,0,0,0,0
sample_00024,41,5,7.4,0.0,0.0,0,0,0.0,0,0,0,0
sample_00025,43,5,7.8,0.0,0.0,0,0,0.0,0,0,0,0
sample_00026,50,8,5.375,-0.8,0.9,0,0,0.0,0,0,0,0
sample_00027,37,7,4.428571428571429,-0.2,0.0,0,0,0.0,0,0,0,0
sample_00028,18,3,5.333333333333333,-0.15,0.4,0,0,0.0,0,0,0,0
sample_00029,25,6,3.3333333333333335,0.25,1.0,0,0,0.0,0,0,0,0
sample_00030,46,6,6.833333333333333,0.1,0.1,1,0,0.0,0,0,0,0
sample_00031,35,5,6.2,0.2,0.6,2,0,0.0,0,0,0,0
sample_00032,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00033,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00034,34,6,4.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00035,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
sample_00036,35,6,5.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00037,36,4,8.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00038,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00039,27,4,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00040,43,6,6.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00041,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00042,30,6,4.166666666666667,0.19999999999999998,0.45,0,0,0.0,0,0,0,0
sample_00043,29,4,6.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00044,46,6,6.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00045,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00046,25,6,3.3333333333333335,0.0,0.0,0,0,0.0,0,0,0,0
sample_00047,31,6,4.333333333333333,0.25,1.0,0,0,0.0,0,0,0,0
sample_00048,28,4,6.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00049,41,8,4.25,0.0,0.0,0,0,0.0,0,0,0,0
sample_00050,36,6,5.166666666666667,-0.4,0.55,0,0,0.0,0,0,0,0
sample_00051,46,7,5.714285714285714,0.85,1.0,0,0,0.0,0,0,0,0
sample_00052,27,5,4.6,-0.15,0.4,0,0,0.0,0,0,0,0
sample_00053,46,7,5.714285714285714,0.85,1.0,0,0,0.0,0,0,0,0
sample_00054,25,4,5.5,-0.31666666666666665,0.3,0,1,0.0,0,0,0,0
sample_00055,44,8,4.625,-0.31666666666666665,0.3,0,0,0.0,0,0,0,0
sample_00056,31,4,7.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00057,37,6,5.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00058,34,6,4.833333333333333,-0.7999999999999999,1.0,0,0,0.0,0,0,0,0
sample_00059,38,4,8.75,0.0,0.0,0,0,0.0,0,0,0,0
sample_00060,34,5,6.0,-0.16666666666666666,0.5,0,0,0.0,0,0,0,0
sample_00061,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
sample_00062,34,5,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample_00063,37,6,5.333333333333333,-0.2,0.2,0,0,0.0,0,0,0,0
sample_00064,33,4,7.5,0.1,0.55,1,0,0.0,0,0,0,0
sample_00065,44,7,5.428571428571429,1.0,1.0,0,0,0.0,0,0,0,0
sample_00066,46,7,5.714285714285714,0.85,1.0,0,0,0.0,0,0,0,0
sample_00067,38,4,8.75,-0.2,0.4,0,1,0.0,0,0,0,0
sample_00068,46,6,6.833333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample_00069,33,6,4.666666666666667,-0.8,0.9,0,0,0.0,0,0,0,0
sample_00070,46,7,5.714285714285714,1.0,1.0,0,0,0.0,0,0,0,0
sample_00071,32,6,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample_00072,44,7,5.428571428571429,0.0,0.0,0,0,0.0,0,0,0,0
sample_00073,32,5,5.6,0.0,0.0,0,0,0.0,0,0,0,0
sample_00074,42,6,6.166666666666667,0.1,0.1,0,0,0.0,0,0,0,0
