id,char_count,word_count,avg_word_length,sentiment_polarity,sentiment_subjectivity,adult_keywords_count,violence_keywords_count,uppercase_ratio,punctuation_count,exclamation_count,question_count,number_count
sample001,54,10,4.5,0.0,0.0,0,0,0.0,0,0,0,0
sample002,50,9,4.666666666666667,0.5,0.5,0,0,0.0,0,0,0,0
sample003,41,6,6.0,0.0,0.0,0,0,0.0,0,0,0,0
sample004,54,6,8.166666666666666,0.275,0.325,0,0,0.0,0,0,0,0
sample005,45,7,5.571428571428571,0.0,0.0,0,0,0.0,0,0,0,0
sample006,46,8,4.875,0.0,0.0,0,0,0.0,0,0,0,0
sample007,46,7,5.714285714285714,0.5,1.0,0,0,0.0,0,0,0,0
sample008,45,6,6.666666666666667,0.0,1.0,0,0,0.0,0,0,0,0
sample009,46,6,6.833333333333333,-0.05,0.35,0,0,0.0,0,0,0,0
sample010,43,6,6.333333333333333,0.0,0.0,0,0,0.0,0,0,0,0
sample011,48,8,5.125,0.25,0.8500000000000001,1,0,0.0,0,0,0,0
sample012,46,7,5.714285714285714,0.1,0.55,2,0,0.0,0,0,0,0
sample013,47,7,5.857142857142857,0.04999999999999999,0.85,3,0,0.0,0,0,0,0
sample014,41,6,6.0,-0.3,0.6,1,0,0.0,0,0,0,0
sample015,45,7,5.571428571428571,0.0,0.0,2,0,0.0,0,0,0,0
sample016,49,7,6.142857142857143,0.1,0.3,2,1,0.0,0,0,0,0
sample017,45,6,6.666666666666667,0.0,0.0,1,0,0.0,0,0,0,0
sample018,43,6,6.333333333333333,0.26666666666666666,0.6666666666666666,3,0,0.0,0,0,0,0
sample019,42,7,5.142857142857143,0.0,0.0,1,0,0.0,0,0,0,0
sample020,44,6,6.5,0.0,0.0,2,1,0.0,0,0,0,0
