feature,importance
skin_ratio_max,0.1338496071829405
adult_keywords_count,0.13257687991021327
tempo,0.11886105006105005
skin_ratio_mean,0.07793650793650793
motion_mean,0.05130415263748597
brightness_max,0.040477189477189486
mfcc_1_mean,0.03715555555555555
mfcc_2_mean,0.03193362193362193
mfcc_8_mean,0.030479717813051147
mfcc_10_std,0.029212121212121214
mfcc_4_mean,0.021494949494949497
mfcc_4_std,0.019737694404361072
zcr_std,0.01751226551226551
rms_mean,0.017338143338143337
rms_std,0.01546147186147186
spectral_centroid_mean,0.014256410256410255
brightness_std,0.014147186147186148
brightness_mean,0.012323232323232323
saturation_mean,0.01157255090588424
motion_max,0.011555555555555555
mfcc_5_mean,0.010233766233766236
mfcc_12_mean,0.010202020202020204
mfcc_0_std,0.009727272727272727
edge_density_std,0.009076923076923076
mfcc_1_std,0.008222222222222223
processed_frames,0.00812987012987013
mfcc_5_std,0.0077142857142857135
spectral_bandwidth_std,0.006923076923076925
skin_ratio_std,0.0064627224627224625
spectral_centroid_std,0.006049382716049383
frame_count,0.006049382716049383
mfcc_9_std,0.005904761904761904
spectral_rolloff_mean,0.0058441558441558435
edge_density_mean,0.0058441558441558435
sentiment_subjectivity,0.005829725829725831
mfcc_10_mean,0.005555555555555555
mfcc_7_std,0.005076923076923078
hue_mean,0.004923076923076922
mfcc_11_std,0.004666666666666666
spectral_rolloff_std,0.004155844155844156
duration_seconds,0.0039506172839506165
chroma_std,0.0030769230769230756
chroma_mean,0.0030769230769230756
sentiment_polarity,0.0029836829836829837
scene_cuts,0.0024242424242424247
violence_keywords_count,0.0024242424242424247
mfcc_6_mean,0.0022857142857142863
scene_cut_rate,0.0022222222222222222
mfcc_6_std,0.0017777777777777779
punctuation_count,0.0
uppercase_ratio,0.0
avg_word_length,0.0
word_count,0.0
char_count,0.0
number_count,0.0
zcr_mean,0.0
spectral_bandwidth_mean,0.0
mfcc_7_mean,0.0
mfcc_2_std,0.0
mfcc_3_mean,0.0
mfcc_3_std,0.0
mfcc_0_mean,0.0
exclamation_count,0.0
question_count,0.0
mfcc_8_std,0.0
fps,0.0
mfcc_12_std,0.0
mfcc_9_mean,0.0
mfcc_11_mean,0.0
brightness_min,0.0
motion_std,0.0
hue_std,0.0
saturation_std,0.0
